full_date,weekday,time,mood
2021-08-16,Monday,09:20,fine I’m fine 
2021-08-15,Sunday,20:45,meh
2021-08-14,Saturday,13:03,fine I’m fine 
2021-08-14,Saturday,10:56,fine I’m fine 
2021-08-13,Friday,11:17,meh
2021-08-12,Thursday,13:16,fine I’m fine 
2021-08-11,Wednesday,21:05,fine I’m fine 
2021-08-11,Wednesday,15:16,sick
2021-08-10,Tuesday,23:31,calm happy
2021-08-09,Monday,21:48,meh
2021-08-08,Sunday,14:53,fine I’m fine 
2021-08-07,Saturday,18:13,meh
2021-08-06,Friday,17:06,fine I’m fine 
2021-08-05,Thursday,12:50,meh
2021-08-04,Wednesday,14:01,fine I’m fine 
2021-08-03,Tuesday,10:57,meh
2021-08-02,Monday,22:01,fine I’m fine 
2021-08-02,Monday,13:32,sick
2021-08-02,Monday,00:15,fine I’m fine 
2021-08-01,Sunday,12:14,meh
2021-07-31,Saturday,21:07,anxious
2021-07-31,Saturday,15:06,fine I’m fine 
2021-07-30,Friday,22:26,fine I’m fine 
2021-07-30,Friday,19:44,awful
2021-07-30,Friday,11:17,fine I’m fine 
2021-07-29,Thursday,10:52,fine I’m fine 
2021-07-28,Wednesday,22:01,meh
2021-07-28,Wednesday,21:00,fine I’m fine 
2021-07-27,Tuesday,20:00,fine I’m fine 
2021-07-26,Monday,21:37,meh
2021-07-26,Monday,13:37,fine I’m fine 
2021-07-25,Sunday,20:36,anxious
2021-07-25,Sunday,15:51,meh
2021-07-24,Saturday,10:26,fine I’m fine 
2021-07-23,Friday,13:43,meh
2021-07-22,Thursday,14:47,fine I’m fine 
2021-07-21,Wednesday,17:16,meh
2021-07-20,Tuesday,18:08,meh
2021-07-19,Monday,21:00,fine I’m fine 
2021-07-18,Sunday,18:01,fine I’m fine 
2021-07-17,Saturday,15:00,meh
2021-07-16,Friday,21:00,fine I’m fine 
2021-07-16,Friday,17:45,fine I’m fine 
2021-07-15,Thursday,19:22,fine I’m fine 
2021-07-14,Wednesday,18:00,meh
2021-07-14,Wednesday,08:37,fine I’m fine 
2021-07-13,Tuesday,18:12,fine I’m fine 
2021-07-12,Monday,15:41,fine I’m fine 
2021-07-11,Sunday,16:34,fine I’m fine 
2021-07-10,Saturday,11:44,fine I’m fine 
2021-07-09,Friday,18:14,meh
